cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	1835008	0	0	0	0	0	9405	8932	11418	0	0	2039808	0	0	0	20971520	0	1835008	0	0	0	0	0	9405	8932	11418	0	0	2039808	0	0	0	
0	1839104	0	0	0	0	0	26466	26055	31647	0	0	2039808	0	0	0	20971520	0	1839104	0	0	0	0	0	26466	26055	31647	0	0	2039808	0	0	0	
0	1851392	0	0	0	0	0	41580	41166	49533	0	0	1990656	0	0	0	20971520	0	1851392	0	0	0	0	0	41580	41166	49533	0	0	1990656	0	0	0	
0	1912832	0	0	0	0	0	57750	57350	68607	0	0	2043904	0	0	0	20971520	0	1912832	0	0	0	0	0	57750	57350	68607	0	0	2043904	0	0	0	
0	2564096	0	0	0	0	0	75867	75263	90057	0	0	2748416	0	0	0	20971520	0	2564096	0	0	0	0	0	75867	75263	90057	0	0	2748416	0	0	0	
0	1916928	0	0	0	0	0	92466	92094	109725	0	0	2002944	0	0	0	20971520	0	1916928	0	0	0	0	0	92466	92094	109725	0	0	2002944	0	0	0	
0	1941504	0	0	0	0	0	107613	107212	127611	0	0	2043904	0	0	0	20971520	0	1941504	0	0	0	0	0	107613	107212	127611	0	0	2043904	0	0	0	
0	1781760	0	0	0	0	0	124245	123845	147246	0	0	2039808	0	0	0	20971520	0	1781760	0	0	0	0	0	124245	123845	147246	0	0	2039808	0	0	0	
0	1921024	0	0	0	0	0	141900	141483	168102	0	0	1982464	0	0	0	20971520	0	1921024	0	0	0	0	0	141900	141483	168102	0	0	1982464	0	0	0	
0	1982464	0	0	0	0	0	158466	158104	187770	0	0	2035712	0	0	0	20971520	0	1982464	0	0	0	0	0	158466	158104	187770	0	0	2035712	0	0	0	
0	1925120	0	0	0	0	0	174636	174199	206910	0	0	2039808	0	0	0	20971520	0	1925120	0	0	0	0	0	174636	174199	206910	0	0	2039808	0	0	0	
0	1970176	0	0	0	0	0	191763	191375	227139	0	0	2035712	0	0	0	20971520	0	1970176	0	0	0	0	0	191763	191375	227139	0	0	2035712	0	0	0	
0	1691648	0	0	0	0	0	209715	209247	248424	0	0	2035712	0	0	0	20971520	0	1691648	0	0	0	0	0	209715	209247	248424	0	0	2035712	0	0	0	
0	1892352	0	0	0	0	0	227040	226604	268818	0	0	2027520	0	0	0	20971520	0	1892352	0	0	0	0	0	227040	226604	268818	0	0	2027520	0	0	0	
0	1961984	0	0	0	0	0	241626	241215	286110	0	0	2039808	0	0	0	20971520	0	1961984	0	0	0	0	0	241626	241215	286110	0	0	2039808	0	0	0	
0	1716224	0	0	0	0	0	258720	258332	306438	0	0	2043904	0	0	0	20971520	0	1716224	0	0	0	0	0	258720	258332	306438	0	0	2043904	0	0	0	
0	1814528	0	0	0	0	0	276870	276471	327789	0	0	2031616	0	0	0	20971520	0	1814528	0	0	0	0	0	276870	276471	327789	0	0	2031616	0	0	0	
0	1912832	0	0	0	0	0	293040	292598	346896	0	0	2035712	0	0	0	20971520	0	1912832	0	0	0	0	0	293040	292598	346896	0	0	2035712	0	0	0	
0	1859584	0	0	0	0	0	308121	307733	364815	0	0	2039808	0	0	0	20971520	0	1859584	0	0	0	0	0	308121	307733	364815	0	0	2039808	0	0	0	
0	1921024	0	0	0	0	0	325776	325355	385671	0	0	2043904	0	0	0	20971520	0	1921024	0	0	0	0	0	325776	325355	385671	0	0	2043904	0	0	0	
0	1912832	0	0	0	0	0	343365	342954	406494	0	0	2035712	0	0	0	20971520	0	1912832	0	0	0	0	0	343365	342954	406494	0	0	2035712	0	0	0	
0	1839104	0	0	0	0	0	358974	358631	424941	0	0	2031616	0	0	0	20971520	0	1839104	0	0	0	0	0	358974	358631	424941	0	0	2031616	0	0	0	
